CLUBS NAMES ,DESCRIPTION,INSTAGRAM LINK,youtube link
CANDLEVES,"Candleves is the event management club of VNR VJIET. It provides students with a platform to plan, organize, and execute various campus events, including cultural fests, workshops, and conferences. The club helps members develop skills in leadership, teamwork, and event coordination while contributing to the vibrant campus life.",https://www.instagram.com/candleves_vnrvjiet/,
DATA QUESTERS,"VJ Data Questers is the official data science club of VNR VJIET, founded under the Department of CSE (CyS, DS) and AI&DS. It aims to create a community of curious learners passionate about data science, machine learning, and artificial intelligence. The club provides students with opportunities to explore real-world data problems, participate in workshops, hackathons, and hands-on projects, and gain mentorship from experienced seniors and faculty. By blending learning with fun, Data Questers encourages teamwork, innovation, and creative thinking to help members grow into skilled data enthusiasts ready for the industry.",https://www.instagram.com/vjdataquesters.club/?hl=en,
KRITHOMEDH,"Krithomedh is the official technical club of the Department of AIML & IoT at VNR Vignana Jyothi Institute of Engineering & Technology (VNR VJIET). The club brings together students who are passionate about artificial intelligence, machine learning, the Internet of Things (IoT) and next-gen technologies. Through workshops, hackathons (like the flagship “Krithoathon”), guest lectures, and project showcases, Krithomedh gives members the chance to turn ideas into real, working solutions, collaborate with peers, and gain mentorship from seniors and faculty. The aim is to empower students with hands-on experience, foster innovation, and prepare them for industry-ready roles in AI & IoT.",https://www.instagram.com/krithomedh_vnrvjiet/?hl=en,
NSS,"The National Service Scheme (NSS) at VNR VJIET is a student organization dedicated to promoting social responsibility, community development, and environmental awareness. Guided by the motto “Not Me, But You,” it encourages students to contribute selflessly to society while developing leadership and teamwork skills. The NSS unit organizes various activities such as tree plantation drives, blood donation camps, village adoption programs, and cleanliness and health awareness campaigns. It provides opportunities for students to work closely with communities, understand real-life challenges, and apply their knowledge for social good. By participating in NSS, students grow as responsible citizens, gaining values of empathy, discipline, and service while making a meaningful impact beyond the classroom.",https://www.instagram.com/nss_vnrvjiet/?hl=en,
social media club,"The Social Media Club at VNR Vignana Jyothi Institute of Engineering & Technology is a vibrant student-driven community focused on digital storytelling, content creation, and brand building for the campus. It manages social platforms, designs engaging visuals and narratives, and collaborates with other clubs to promote events, culture, and campus life. The club offers students the chance to develop skills in graphic design, photography, video-editing, social media strategy and analytics, while working with a creative team of peers. It also encourages innovation through campaigns, creative challenges, and behind-the-scenes production of campus media. Joining this club means joining a dynamic team where you can express your creativity, contribute to the college’s digital presence, and gain real-world experience in digital communication and brand engagement.",https://www.instagram.com/smc.vnrvjiet/,
vj arc,"VJ ARC (AI Research & Coding Club) is a student-driven technical club at VNR VJIET that focuses on Artificial Intelligence, Machine Learning, and coding innovation. The club encourages students to explore research-oriented learning, build real-world projects, and enhance their problem-solving skills. It organizes coding sessions, AI workshops, and technical events that promote creativity and teamwork. As a member, I’m excited to learn, collaborate, and contribute new ideas—like AI-driven social projects and creative coding challenges. VJ ARC provides the perfect platform to strengthen both technical expertise and innovative thinking in the growing field of AI.",https://www.instagram.com/vj_arc/?hl=en,
vj spectral pyramid,"VJ Spectral Pyramid is an innovative student initiative at VNR VJIET that focuses on the holistic development of students beyond academics. It aims to nurture intellectual, emotional, social, and professional growth through various structured programs and activities. The Pyramid acts as a bridge between academics and life skills, encouraging students to develop leadership qualities, teamwork, and a sense of social responsibility. It promotes a rounded personality with a global vision, helping students prepare for real-world challenges. Through its multidimensional approach, it transforms students into confident and capable individuals ready to excel in any field.",NO LINK,
vnrsf,"A student-led social engagement club at VNR Vignana Jyothi Institute of Engineering & Technology (VNRVJIET) founded around 2012, working under the motto “Be the change”. It focuses on domains such as Education, Environment, Charity, and Awareness/Cognizance — organising drives, outreach programmes, and welfare activities to support society and build student leadership.",https://www.instagram.com/studentforce_btc/?hl=en,
elc(electro literacy club)," A campus club affiliated with the national initiative that seeks to sensitise students about voter rights, electoral processes and democratic participation. Through interactive activities, games, awareness modules, and peer-learning, ELC encourages students to become responsible and informed participants in civic life.",NO LINK,
,,,
